"Date","Price","Open","High","Low","Vol.","Change %"
"07/31/2025","142.70","147.20","147.60","142.10","5.67M","-2.93%"
"07/30/2025","147.00","149.00","149.00","147.00","3.47M","-1.01%"
"07/29/2025","148.50","149.40","149.90","148.50","2.56M","-0.34%"
"07/28/2025","149.00","151.50","151.50","147.80","3.01M","-2.10%"
"07/25/2025","152.20","153.90","153.90","151.50","1.64M","-1.10%"
"07/24/2025","153.90","152.20","153.90","152.00","1.31M","1.12%"
"07/23/2025","152.20","149.00","153.00","148.90","2.09M","2.15%"
"07/22/2025","149.00","149.90","149.90","148.20","2.44M","-0.60%"
"07/21/2025","149.90","150.90","151.00","148.90","1.23M","-0.73%"
"07/18/2025","151.00","150.00","152.70","150.00","2.84M","1.41%"
"07/17/2025","148.90","147.90","149.80","147.50","2.05M","0.20%"
"07/16/2025","148.60","150.00","151.10","147.20","3.49M","-1.85%"
"07/15/2025","151.40","151.70","152.00","151.00","1.91M","-0.39%"
"07/14/2025","152.00","152.00","153.00","151.00","1.58M","0.80%"
"07/11/2025","150.80","152.20","153.90","150.70","2.48M","-1.37%"
"07/10/2025","152.90","154.00","154.80","152.20","2.02M","-0.33%"
"07/09/2025","153.40","154.00","154.80","152.90","1.71M","-0.78%"
"07/08/2025","154.60","155.00","156.00","153.70","1.27M","-0.71%"
"07/07/2025","155.70","155.00","156.40","153.10","890.45K","0.45%"
"07/04/2025","155.00","155.90","157.00","153.80","1.87M","0.26%"
"07/03/2025","154.60","150.20","155.30","150.20","2.70M","3.07%"
"07/02/2025","150.00","149.60","150.90","148.20","4.76M","-0.99%"
"07/01/2025","151.50","153.20","154.00","150.70","3.23M","-0.85%"
"06/30/2025","152.80","155.40","156.00","152.80","3.56M","-2.05%"
"06/27/2025","156.00","153.50","156.70","153.20","1.98M","0.65%"
"06/26/2025","155.00","156.60","156.60","152.60","2.65M","-0.64%"
"06/25/2025","156.00","156.00","157.50","153.90","2.49M","0.00%"
"06/24/2025","156.00","152.20","157.40","152.20","2.12M","3.31%"
"06/23/2025","151.00","152.20","152.80","151.00","920.23K","-1.37%"
"06/20/2025","153.10","155.00","156.80","153.10","4.59M","-1.16%"
"06/19/2025","154.90","154.50","155.60","151.50","1.50M","1.24%"
"06/18/2025","153.00","157.00","157.50","153.00","3.71M","-2.55%"
"06/17/2025","157.00","159.50","159.80","157.00","3.86M","-1.26%"
"06/16/2025","159.00","159.80","159.80","158.10","4.12M","-1.06%"
"06/13/2025","160.70","160.60","161.50","158.00","7.84M","2.68%"
"06/11/2025","156.50","156.00","157.70","156.00","3.38M","0.19%"
"06/10/2025","156.20","157.60","157.90","155.60","5.55M","-1.08%"
"06/09/2025","157.90","157.00","158.80","156.40","1.73M","1.35%"
"06/05/2025","155.80","157.50","158.20","155.70","3.60M","-1.02%"
"06/04/2025","157.40","159.60","160.90","157.40","4.38M","-0.82%"
"06/03/2025","158.70","162.00","162.20","158.30","3.31M","-2.04%"
"06/02/2025","162.00","161.00","163.40","159.60","2.13M","0.62%"
"05/30/2025","161.00","163.20","164.30","158.90","7.84M","-1.11%"
